Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Publisher,Date Published,Year Published,Genre,Summary,Number of Pages,Language,ISBN,Physical Location,Google VolumeID
El conde de Montecristo,I,.,48.0,Alexandre Dumas,"Dumas, Alexandre",El País,,2004.0,,,693.0,español,9788496246515.0,Estantería 5.4,EeZDuAAACAAJ
El conde de Montecristo,v. 2,.,49.0,Alexandre Dumas,"Dumas, Alexandre",Diario el País,,2004.0,,,,español,9788496246539.0,Estantería 5.4,dZUTjwEACAAJ
El corsario negro,,.,17.0,Emilio Salgari,"Salgari, Emilio",El País,,2003.0,,,363.0,español,9788496246256.0,Estantería 5.4,8ejtPwAACAAJ
El escarabajo de oro y otros cuentos,,.,20.0,Edgar Allan Poe,"Poe, Edgar Allan",El País,,2003.0,Fiction,,189.0,español,9788496246287.0,Estantería 5.4,pishAAAACAAJ
El extraño caso del Dr. Jekyll y Mr. Hyde,,.,25.0,Robert Louis Stevenson,"Stevenson, Robert Louis",El País,,2004.0,,,128.0,español,9788496246331.0,Estantería 5.4,mZDBAAAACAAJ
El fantasma de la Ópera,,.,30.0,Gaston Leroux,"Leroux, Gaston",Diario el País,,2002.0,,,353.0,español,9788496246393.0,Estantería 5.4,xU02AAAACAAJ
El gato negro y otros cuentos,,.,9.0,Edgar Allan Poe,"Poe, Edgar Allan","Alcaldía Mayor de Bogotá, Instituto Distrital de Cultura y Turismo, Secretaría de Educación",,2004.0,American Horror tales,,110.0,español,9788496246164.0,Estantería 5.4,1UWVwAEACAAJ
El grito de la lechuza,,.,50.0,Patricia Highsmith,"Highsmith, Patricia",El País,,2004.0,,,314.0,español,9788496390102.0,Estantería 5.4,bnHlAAAACAAJ
El hombre invisible,,.,7.0,Herbert George Wells,"Wells, Herbert George",El País,,2003.0,,,211.0,español,9788496246140.0,Estantería 5.4,JCaNPwAACAAJ
El hombre que no era nadie,el caso Saint-Fiacre,.,40.0,Edgar Wallace,"Wallace, Edgar",El País,,2004.0,,,137.0,español,9788496246997.0,Estantería 5.4,0RFwPAAACAAJ
El Libro de la selva,,.,6.0,Rudyard Kipling,"Kipling, Rudyard",Diario el País,,2003.0,,,206.0,español,9788496246133.0,Estantería 5.4,IGlKPwAACAAJ
El mago de Oz,,.,42.0,L. Frank Baum,"Baum, L. Frank",El País,,2004.0,,,157.0,español,9788496246546.0,Estantería 5.4,dVeDPwAACAAJ
El martillo azul,,.,7.0,Ross Macdonald,"Macdonald, Ross",El País,,2004.0,,,299.0,español,9788496246683.0,Estantería 5.4,MlRsAAAACAAJ
El misterio de los hermanos siameses,,.,12.0,Ellery Queen,"Queen, Ellery",El País,,2004.0,,,285.0,español,9788496246737.0,Estantería 5.4,HECrPAAACAAJ
El Misterio del cuarto amarillo,,.,6.0,Gaston Leroux,"Leroux, Gaston",El País,,2004.0,,,237.0,español,9788496246676.0,Estantería 5.4,58O9PQAACAAJ
El príncipe y el mendigo,,.,33.0,Mark Twain,"Twain, Mark",El País,,2004.0,,"""Un día, Tom Canty, un niño pobre, sucio y soñador se acerca a palacio y conoce al príncipe Eduardo que -aburrido de la disciplina palaciega- propone al mendigo intercambiar sus ropas para así mezclarse con su pueblo. El parecido físico entre los jóvenes permite la suplantación del uno por el otro, y al príncipe descubrir las injusticias cometidas por su gobierno. ¿Le resultará fácil volver a su identidad y solventar los problemas de sus súbditos?""--Back cover.",281.0,español,9788496246423.0,Estantería 5.4,kreHPwAACAAJ
El prisionero de Zenda,,.,41.0,Anthony Hope,"Hope, Anthony",Diario el País,,2004.0,,,204.0,español,9788496246508.0,Estantería 5.4,cMC6AAAACAAJ
El rojo emblema del valor,,.,50.0,Stephen Crane,"Crane, Stephen",El País,,2004.0,,,196.0,español,9788496246607.0,Estantería 5.4,z7gBAQAACAAJ
El sabueso de los Baskerville,,.,10.0,Sir Arthur Conan Doyle,"Doyle, Sir Arthur Conan",Diario el País,,2004.0,crime novel,,214.0,español,9788496246171.0,Estantería 5.4,hl-FPwAACAAJ
El Secuestro de miss Blandish,,.,11.0,James Hadley Chase,"Chase, James Hadley",El País,,1990.0,collectionID:Sleazy_pulp,,221.0,español,9788496246720.0,Estantería 5.4,aig7AAAACAAJ
El signo de los cuatro,,.,5.0,Sir Arthur Conan Doyle,"Doyle, Sir Arthur Conan",El País,,2004.0,,,156.0,español,9788496246669.0,Estantería 5.4,QcelOwAACAAJ
El Sueño eterno,,.,46.0,Raymond Chandler,"Chandler, Raymond",El País,,2004.0,,,236.0,español,9788496390058.0,Estantería 5.4,cepSPwAACAAJ
El talento de Mr. Ripley,,.,1.0,Patricia Highsmith,"Highsmith, Patricia",Diario el País,,2004.0,"Criminals, fiction",¿Quién es Tom Ripley? ¿Un asesino? ¿Un psicópata?Su fría mirada esconde las más terribles intenciones y su mente calculadora maquina planes para escapar de la policía. Ha recibido el encargo de viajar a Italia y convencer al hijo bohemio de un adinerado empresario norteamericano par que vuelva a casa.,318.0,español,9788496246621.0,Estantería 5.4,BJBSvgEACAAJ
El tercer hombre,,.,6.0,Graham Greene,"Greene, Graham",El País,,2004.0,,,140.0,español,9788496246645.0,Estantería 5.4,ZhQfPQAACAAJ
El tesoro del lago de la Plata,,.,37.0,Karl May,"May, Karl",País,,2004.0,,,462.0,español,9788496246461.0,Estantería 5.4,8lycAAAACAAJ
El tulipán negro,,.,16.0,Alexandre Dumas,"Dumas, Alexandre",Diario el País,,2004.0,Fiction,,276.0,español,9788496246249.0,Estantería 5.4,W6HkAQAACAAJ
El Último caso de Drury Lane,,.,34.0,Ellery Queen,"Queen, Ellery",El País,,1980.0,,,299.0,español,9788496246959.0,Estantería 5.4,BKq2PAAACAAJ
El Último mohicano,,.,47.0,James Fenimore Cooper,"Cooper, James Fenimore",Diario el País,,2004.0,,,429.0,español,9788496246577.0,Estantería 5.4,6-PiQwAACAAJ
Escupiré sobre vuestra tumba,,.,19.0,Boris Vian,"Vian, Boris",El País,,2004.0,,,141.0,español,9788496246805.0,Estantería 5.4,O7TsAAAACAAJ
Estudio en escarlata,,.,34.0,Sir Arthur Conan Doyle,"Doyle, Sir Arthur Conan",Diario el País,,2004.0,,,173.0,español,9788496246430.0,Estantería 5.4,rotkPwAACAAJ
Extraños en un tren,,.,18.0,Patricia Highsmith,"Highsmith, Patricia",El País,,2004.0,,,363.0,español,9788496246799.0,Estantería 5.4,29VTPQAACAAJ
Frankenstein,,.,14.0,Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft",El País,,2004.0,Frankenstein (Fictitious character),"El doctor Frankenstein desafía a la naturaleza creando, de fragmentos humanos, un ser que espanta a quienes lo ven, incluido a su autor. El monstruo es un ser bondadoso que sufre el rechazo, silencio y soledad impuestos como una condena. Anhela compartir su aislamiento con otro ser pero el científico se lo niega. Su carácter se torna violento. Alguien tiene que morir.",259.0,español,9788496246225.0,Estantería 5.4,eWYBPgAACAAJ
Historia de dos ciudades,,.,31.0,Charles Dickens,"Dickens, Charles",Diario el País,,1980.0,British,"""Las carreteras de la muerte avanzan con estrépito, chirriantes y siniestras, por las calles de París. Seis son las que hoy acarrean su ración de vino a la guillotina"". Es el comienzo de la Revolución Francesa. Los campesinos y artesanos, víctimas de las injusticias y los abusos de la nobleza, se levantan con fiera violencia. El doctor Manette -que habia viajado a Londres tras pasar varios años en los fríos calabozos de la Bastilla- vuelve a Francia. Los marginados, los suburbios de Londres y las duras experiencias durante su propia infancia son temas de la obra de Charles Dickens (1812-1870), el escritor inglés más universal. De formación principalmente autodidacta, ejerció de periodista y conferenciante y fundó el Daily News. Las aventuras de Oliver Twist o David Copperfield, publicadas por entregas, denuncian las crudas condiciones de vida de los más humildes.",360.0,español,9788496246409.0,Estantería 5.4,klBSPwAACAAJ
Ivanhoe,,.,18.0,Walter Scott,"Scott, Walter",Diario el País,,2004.0,,,587.0,español,9788496246263.0,Estantería 5.4,02bqkQEACAAJ
La bestia debe morir,,.,31.0,Nicholas Blake,"Blake, Nicholas",El País,,2004.0,,,222.0,español,9788496246928.0,Estantería 5.4,qlvbAQAACAAJ
La Celestina,,,,Fernando de Rojas,"Rojas, Fernando de",Altaya,,1994.0,,,351.0,español,9788448703073.0,Estantería 5.4,JB3aQwAACAAJ
La dama de blanco,I,.,35.0,Wilkie Collins,"Collins, Wilkie",El País,,2004.0,,"Una trama argumental magníficamente desarrollada, que envuelve al lector en una atmósfera de misterio e intriga. Walter Hartright se traslada a Limmeridge para dar clases de dibujo a Laura, una joven rica heredera sobrina del barón Frederick Fairlie. Poco antes de irse, tropieza con una misteriosa dama vestida de blanco que le habla de Limmeridge y de su propietaria fallecida, la señora Fairlie. Desde el principio Walter siente una gran atracción por Laura, quien está prometida con sir Percival Glyde, que solo busca arrebatarle su herencia. Solo se interpone en su camino la misteriosa dama de blanco",379.0,español,9788496246973.0,Estantería 5.4,UoqSPwAACAAJ
La dama de blanco,,.,36.0,Wilkie Collins,"Collins, Wilkie",El País,,2004.0,,"Walter Hartright se siente atraído por Laura, su alumna, pero tiene en contra grandes impedimentos: sir Percival Glyde, que aspira más a la herencia que al amor de la sobrina del barón Fairlie. Sólo la enigmática mujer de blanco puede cambiar el curso de las cosas",330.0,español,9788496246980.0,Estantería 5.4,tvPQGAAACAAJ
La dama del lago,,.,27.0,Raymond Chandler,"Chandler, Raymond",El País,,2004.0,,"Detective Marlow sets out to find the missing wife of a publishing magnate. Several smack-arounds, one dead gigolo, a few angry cops, a booze-soaked frame-up and one dame in the lake later, Marlowe finds the killer and finds that he's also looking at the business end of a gun.",284.0,español,9788496246881.0,Estantería 5.4,v1ZpPwAACAAJ
